2025-06-14 13:37:34 - INFO - Logging system initialized. Log file: C:\Users\jayan\Downloads\phishwatch_21_05_2025 (1)\Source_Codes\..\Logs\Alert_Severity_JKPolice_JK01_20250614_133734.log
2025-06-14 13:37:34 - INFO - Detected latest file: C:\Users\jayan\Downloads\phishwatch_21_05_2025 (1)\Source_Codes\..\Outputs\05_Analytical_Attributes_JKPolice_JK01_20250613_101222.csv
2025-06-14 13:40:24 - INFO - Total rows processed: 23301/58259 (40.0%)
2025-06-14 13:40:24 - INFO - Total rows processed: 23302/58259 (40.0%)
2025-06-14 13:40:24 - INFO - Total rows processed: 23303/58259 (40.0%)
2025-06-14 13:40:24 - INFO - Total rows processed: 23304/58259 (40.0%)
2025-06-14 13:40:24 - INFO - Total rows processed: 23305/58259 (40.0%)
2025-06-14 13:40:24 - INFO - Total rows processed: 23306/58259 (40.0%)
2025-06-14 13:40:45 - INFO - Total rows processed: 26214/58259 (45.0%)
2025-06-14 13:40:45 - INFO - Total rows processed: 26215/58259 (45.0%)
2025-06-14 13:40:45 - INFO - Total rows processed: 26216/58259 (45.0%)
2025-06-14 13:40:45 - INFO - Total rows processed: 26217/58259 (45.0%)
2025-06-14 13:40:45 - INFO - Total rows processed: 26218/58259 (45.0%)
2025-06-14 13:40:45 - INFO - Total rows processed: 26219/58259 (45.0%)
2025-06-14 13:41:06 - INFO - Total rows processed: 29127/58259 (50.0%)
2025-06-14 13:41:06 - INFO - Total rows processed: 29128/58259 (50.0%)
2025-06-14 13:41:06 - INFO - Total rows processed: 29129/58259 (50.0%)
2025-06-14 13:41:06 - INFO - Total rows processed: 29130/58259 (50.0%)
2025-06-14 13:41:06 - INFO - Total rows processed: 29131/58259 (50.0%)
2025-06-14 13:41:06 - INFO - Total rows processed: 29132/58259 (50.0%)
2025-06-14 13:41:27 - INFO - Total rows processed: 32040/58259 (55.0%)
2025-06-14 13:41:27 - INFO - Total rows processed: 32041/58259 (55.0%)
2025-06-14 13:41:27 - INFO - Total rows processed: 32042/58259 (55.0%)
2025-06-14 13:41:27 - INFO - Total rows processed: 32043/58259 (55.0%)
2025-06-14 13:41:27 - INFO - Total rows processed: 32044/58259 (55.0%)
2025-06-14 13:41:27 - INFO - Total rows processed: 32045/58259 (55.0%)
2025-06-14 13:41:49 - INFO - Total rows processed: 34953/58259 (60.0%)
2025-06-14 13:41:49 - INFO - Total rows processed: 34954/58259 (60.0%)
2025-06-14 13:41:49 - INFO - Total rows processed: 34955/58259 (60.0%)
2025-06-14 13:41:49 - INFO - Total rows processed: 34956/58259 (60.0%)
2025-06-14 13:41:49 - INFO - Total rows processed: 34957/58259 (60.0%)
2025-06-14 13:41:49 - INFO - Total rows processed: 34958/58259 (60.0%)
2025-06-14 13:42:11 - INFO - Total rows processed: 37866/58259 (65.0%)
2025-06-14 13:42:11 - INFO - Total rows processed: 37867/58259 (65.0%)
2025-06-14 13:42:11 - INFO - Total rows processed: 37868/58259 (65.0%)
2025-06-14 13:42:11 - INFO - Total rows processed: 37869/58259 (65.0%)
2025-06-14 13:42:11 - INFO - Total rows processed: 37870/58259 (65.0%)
2025-06-14 13:42:11 - INFO - Total rows processed: 37871/58259 (65.0%)
2025-06-14 13:42:33 - INFO - Total rows processed: 40779/58259 (70.0%)
2025-06-14 13:42:33 - INFO - Total rows processed: 40780/58259 (70.0%)
2025-06-14 13:42:33 - INFO - Total rows processed: 40781/58259 (70.0%)
2025-06-14 13:42:33 - INFO - Total rows processed: 40782/58259 (70.0%)
2025-06-14 13:42:33 - INFO - Total rows processed: 40783/58259 (70.0%)
2025-06-14 13:42:33 - INFO - Total rows processed: 40784/58259 (70.0%)
2025-06-14 13:42:54 - INFO - Total rows processed: 43692/58259 (75.0%)
2025-06-14 13:42:55 - INFO - Total rows processed: 43693/58259 (75.0%)
2025-06-14 13:42:55 - INFO - Total rows processed: 43694/58259 (75.0%)
2025-06-14 13:42:55 - INFO - Total rows processed: 43695/58259 (75.0%)
2025-06-14 13:42:55 - INFO - Total rows processed: 43696/58259 (75.0%)
2025-06-14 13:42:55 - INFO - Total rows processed: 43697/58259 (75.0%)
2025-06-14 13:43:17 - INFO - Total rows processed: 46605/58259 (80.0%)
2025-06-14 13:43:17 - INFO - Total rows processed: 46606/58259 (80.0%)
2025-06-14 13:43:17 - INFO - Total rows processed: 46607/58259 (80.0%)
2025-06-14 13:43:17 - INFO - Total rows processed: 46608/58259 (80.0%)
2025-06-14 13:43:17 - INFO - Total rows processed: 46609/58259 (80.0%)
2025-06-14 13:43:17 - INFO - Total rows processed: 46610/58259 (80.0%)
2025-06-14 13:43:39 - INFO - Total rows processed: 49518/58259 (85.0%)
2025-06-14 13:43:39 - INFO - Total rows processed: 49519/58259 (85.0%)
2025-06-14 13:43:39 - INFO - Total rows processed: 49520/58259 (85.0%)
2025-06-14 13:43:39 - INFO - Total rows processed: 49521/58259 (85.0%)
2025-06-14 13:43:39 - INFO - Total rows processed: 49522/58259 (85.0%)
2025-06-14 13:43:39 - INFO - Total rows processed: 49523/58259 (85.0%)
2025-06-14 13:44:01 - INFO - Total rows processed: 52431/58259 (90.0%)
2025-06-14 13:44:01 - INFO - Total rows processed: 52432/58259 (90.0%)
2025-06-14 13:44:01 - INFO - Total rows processed: 52433/58259 (90.0%)
2025-06-14 13:44:01 - INFO - Total rows processed: 52434/58259 (90.0%)
2025-06-14 13:44:01 - INFO - Total rows processed: 52435/58259 (90.0%)
2025-06-14 13:44:01 - INFO - Total rows processed: 52436/58259 (90.0%)
2025-06-14 13:44:22 - INFO - Total rows processed: 55344/58259 (95.0%)
2025-06-14 13:44:22 - INFO - Total rows processed: 55345/58259 (95.0%)
2025-06-14 13:44:22 - INFO - Total rows processed: 55346/58259 (95.0%)
2025-06-14 13:44:22 - INFO - Total rows processed: 55347/58259 (95.0%)
2025-06-14 13:44:22 - INFO - Total rows processed: 55348/58259 (95.0%)
2025-06-14 13:44:44 - INFO - Total rows processed: 58257/58259 (100.0%)
2025-06-14 13:44:44 - INFO - Total rows processed: 58258/58259 (100.0%)
2025-06-14 13:44:44 - INFO - Total rows processed: 58259/58259 (100.0%)
2025-06-14 13:44:45 - INFO - Results written to output file: C:\Users\jayan\Downloads\phishwatch_21_05_2025 (1)\Source_Codes\..\Outputs\06_Alert_Severity_JKPolice_JK01_20250614_133734.csv
2025-06-14 13:44:45 - INFO - Hash updated in C:\Users\jayan\Downloads\phishwatch_21_05_2025 (1)\Source_Codes\..\DB\06_Alert_Severity_JKPolice_JK01_20250614_133734.db
2025-06-14 13:44:45 - INFO - Code executed successfully at 100%.
2025-06-14 13:44:45 - INFO - Log updates integrated: Alert Severity, Status: success,1:07:43, Completion: 100%
2025-06-14 13:44:45 - INFO - Alerts processed successfully. Results saved to C:\Users\jayan\Downloads\phishwatch_21_05_2025 (1)\Source_Codes\..\Outputs\06_Alert_Severity_JKPolice_JK01_20250614_133734.csv.
2025-06-14 13:44:45 - INFO - Execution time: 7.15 minutes
